tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
ZNF613,0.7061775822307605,3086,55.88243970762645,76.84630095542582,0.0032440752181369125,0.0044610647251495305,0.7271975230146821
ZNF182,0.7895887361832963,2388,31.722525857741292,14.689121845681013,0.001841549161601143,0.0008527297019436324,2.1595930778577173
ZNF432,0.9125811492812875,7101,70.22779680360306,32.90873349968858,0.004076848763706203,0.0019104106292632404,2.1340170020297995
VEZF1,0.9186260332742676,6671,64.99152046851978,40.83145634218012,0.003772873590416799,0.0023703388100650247,1.5917022386826205
ZNF529,0.9257247054254669,6643,197.9452294982897,113.35506791312153,0.011491073348327512,0.006580463712592682,1.7462406678632174
ZNF180,0.9361888420370478,6660,168.01506437853664,80.09138546082802,0.009753573921893454,0.004649447664044353,2.097791958670902
ZNF548,0.939009069113404,6659,135.81371364583546,76.40438855563261,0.007884228122944124,0.004435410922769802,1.7775643024346033
ZNF283,0.9477259552414415,6919,126.02688531515048,76.33235321351776,0.007316085296363083,0.004431229142779389,1.651028430403902
ZNF267,0.9518310793941117,6343,160.1883230523212,107.07744760375834,0.009299217639168769,0.00621603666572381,1.4960043093770823
ZNF383,0.9537610888061578,5946,126.23419373692602,89.75936300974939,0.00732811991971009,0.005210690990929374,1.4063624061504851
IRF3,0.9550245507242481,6699,46.83728439829669,36.65887721852013,0.002718987832247573,0.002128113155608971,1.2776519073157648
THAP1,0.955710716669608,7025,61.2494099929646,54.06938824598394,0.0035556374081600257,0.0031388243495869,1.1327927313384014
ZNF519,0.9559928203597994,7274,141.99372561780532,91.048416136009,0.008242988831870737,0.005285522822245965,1.5595408645625832
ZNF467,0.9567728307907283,7564,184.32184271472673,103.18950582304298,0.010700211466081895,0.005990334716303436,1.786246006748162
ZNF571,0.9575968453831675,6109,99.43663105459999,69.334485060523,0.005772473647660512,0.004024990424969406,1.4341583552225192
ZNF770,0.9576625414936604,9052,129.9831839569038,93.83114043020858,0.007545755483391605,0.0054470649268668625,1.385288331367826
ZBTB17,0.9600575783245282,8100,91.26241521175811,74.23257613036522,0.005297945849980152,0.004309333340901267,1.2294119370380674
ZNF880,0.9641770427778219,7320,41.57463021607639,32.41074335157847,0.002413481377921537,0.0018815014136525292,1.282742261264786
ZNF304,0.9696516871780188,7605,107.98578974509967,76.26325285243341,0.006268767545866694,0.00442721774366849,1.4159609734199012
ZNF235,0.9713164341946762,2910,40.52449738150257,27.696365057272708,0.0023525192953385912,0.0016078233517515794,1.4631702498758536
ZNF287,0.9715375418028758,3183,23.85577638226949,17.44930960649058,0.0013848703345100133,0.0010129635206368617,1.367147292371723
ZNF341,0.9763180702271257,8338,127.9570652260696,87.87600737378345,0.00742813568013872,0.00510135883976451,1.4561092276507293
PATZ1,0.9778942772522567,7292,185.9697045824529,172.06463652094905,0.010795872784305868,0.00998865880186631,1.0808130499250546
MAZ,0.9821322408595257,7516,215.30102972206447,151.86816427343376,0.01249860848264626,0.008816217593952964,1.417683757172582
SP3,0.9822651429674658,7421,207.61113627160148,160.94407352444614,0.01205219646299788,0.009343090300966339,1.2899582552200468
ZNF792,0.9833102304851323,7035,51.40913941653561,38.71387159753666,0.002984392163969326,0.0022474092417007234,1.327925554720462
ZNF487,0.9834097859992372,3530,85.08265957547435,63.1730007500964,0.004939200021796955,0.0036673052798151863,1.3468199795043696
KLF6,0.9849297435784867,6808,412.28876215917774,304.87726230022554,0.023934097420131067,0.01769866842564876,1.352310628377329
SP2,0.9849717886341944,7274,187.57074062519524,153.65056929384141,0.010888815779937028,0.00891968938197152,1.2207617679989515
ZNF263,0.9891042834144455,8724,122.69228772100593,96.61478142125958,0.0071225059631374625,0.005608660247373713,1.2699121802702555
ZNF384,0.9898836279690879,4038,33.74004035971599,27.95507806293697,0.001958669474034366,0.0016228421028060473,1.206937797982713
KLF3,0.990729588715513,6880,316.5619000488104,274.3156064898273,0.01837698247119531,0.01592450983918654,1.1540061613685466
ZNF281,0.9917765433895976,8151,262.70321179705905,215.6093142528642,0.015250389631780974,0.012516504949080704,1.2184223706076243
EGR2,0.9921006607062431,7436,185.93924803670447,153.38624118996904,0.01079410472754583,0.008904344664458901,1.2122289886901818
SP4,0.9927989940089558,6473,347.66157325908154,324.9026661549574,0.020182373926569228,0.018861178808484695,1.070048385177823
KLF12,0.9930643111307538,6005,278.5449736317831,263.4982888340435,0.016170032139311685,0.015296545270756036,1.057103538942586
SP1,0.9935682742678704,9099,207.63251132592478,182.80265252175008,0.01205343732299575,0.010612019767894467,1.1358287664957183
KLF10,0.9941120027163171,6398,202.90475200311036,175.0001653418687,0.01177898246854234,0.010159071481589963,1.1594546302669435
EGR1,0.9945991354321367,7260,248.1216740033826,216.4156957620248,0.014403905375791396,0.012563316832812307,1.1465049849074826
KLF11,0.996183231154016,7044,159.35004403006445,139.773956739491,0.009250554047954513,0.008114127292435332,1.1400553275247056
CTCF,0.9991679314403404,7422,204.78214073929553,200.012478287899,0.011887968230540783,0.011611080824793858,1.0238468244192798
HINFP,0.9999999999999996,4799,75.14783480279947,75.14783480279947,0.004362465738000665,0.004362465738000665,1.0
HDX,0.9999999999999996,991,61.21917410246175,61.21917410246175,0.003553882160830242,0.003553882160830242,1.0
EBF1,0.9999999999999997,2666,197.78033212947975,197.78033212947972,0.011481500762189699,0.011481500762189697,1.0000000000000002
STAT5B,0.9999999999999997,1462,38.56594761541053,38.56594761541053,0.002238821990909702,0.002238821990909702,1.0
